# This file has the final parameters obtained from the MCMC chains.
# parameter value   median value  upper c-band  lower c-band
a                   13.2643305937  1.1077810554  1.6100018568
q1                  0.3874540604  0.3548980697  0.2217863069
q2                  0.3600985835  0.3400313425  0.2320545428
ecc                 0.0903241164  0.0332511017  0.0279756035
p                   0.1147802994  0.0041871263  0.0035601757
sigma_w_rv_CORALIE  0.0012614766  0.0058586168  0.0010360914
K                   0.1130090101  0.0063762841  0.0063455982
sigma_w             0.8010548555  13.1816999332  0.7594713666
t0                  2457588.2844555085  0.0020113024  0.0019563278
P                   6.5691590354  0.0003303393  0.0003385722
mu_HARPS            1.2450169928  0.0050597630  0.0050851556
mu_CORALIE          1.2140861378  0.0079101254  0.0077958723
omega               141.6079664159  22.5335100127  21.1591198023
sigma_w_rv_HARPS    0.0011462112  0.0051798779  0.0009239637
inc                 88.3473811787  1.1176984089  1.4028524068
